an0,an1,an2,an3,an4,an5,an6,an7,an8,an9,an10,an11,an12,an13,an14,an15,an16,an17,an18,an19,an20,an21,an22,an23,an24,an25,an26,an27,an28,an29,an30,an31,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,class
0.238834,-0.933705,0.383863,0.070035,0.09848,-0.25081,-0.006467,-0.156147,0.165686,0.047869,0.006575,-1.401366,0.097816,0.298249,0.24697,-0.562698,-0.010594,-0.0492,-0.60767,-0.409512,0.032933,0.396599,-0.096871,0.058674,1.25327,-0.836713,0.602603,-0.104523,0.152092,-0.562171,-0.34217,0.197781,0.166847,-0.977878,0.561741,-0.20718,0.091926,-0.228861,-0.161614,-0.026676,-0.026673,0.138678,0.172947,-0.659183,0.05908,-0.011664,0.293765,-0.473566,-0.204293,-0.115744,-0.615074,0.142251,0.428677,0.170229,-0.199559,0.207312,0.884052,-0.535335,0.525656,0.000796,0.068412,-0.532066,-0.034885,-0.206175,True
0.407842,-0.160434,0.067162,0.3809,0.469038,0.567695,0.421442,-0.109736,-0.059044,-0.491213,-0.126522,-1.406742,-0.24648,-0.025409,-0.218556,-0.70986,0.172485,-0.282396,-0.325564,-0.599591,-0.71252,0.79832,-0.517478,0.274855,0.458938,-0.474737,-0.05891,0.155858,-0.016445,-0.680655,-0.218839,0.14906,0.335855,-0.204607,0.24504,0.103685,0.462484,0.589644,0.266295,0.019735,-0.251403,-0.400404,0.03985,-0.664559,-0.285216,-0.335322,-0.171761,-0.620728,-0.021214,-0.34894,-0.332968,-0.047828,-0.316776,0.57195,-0.620166,0.423493,0.08972,-0.173359,-0.135857,0.261177,-0.100125,-0.65055,0.088446,-0.254896,True
0.266226,-0.681414,0.343542,0.102432,0.322145,0.188121,0.188242,-0.131837,0.110527,-0.279321,0.016865,-1.451374,-0.109951,0.035336,-0.081526,-0.729789,0.000919,-0.146798,-0.467764,-0.403969,-0.624585,0.427969,-0.450668,0.236991,0.877937,-0.772015,0.295838,-0.150451,0.279494,-0.654739,-0.179245,0.248634,0.194239,-0.725587,0.52142,-0.174783,0.315591,0.21007,0.033095,-0.002366,-0.081832,-0.188512,0.183237,-0.709191,-0.148687,-0.274577,-0.034731,-0.640657,-0.19278,-0.213342,-0.475168,0.147794,-0.228841,0.201599,-0.553356,0.385629,0.508719,-0.470637,0.218891,-0.045132,0.195814,-0.624634,0.12804,-0.155322,True
0.268811,0.237704,-0.125018,0.583231,-0.041566,-0.109916,0.393619,-0.371343,-0.342239,-0.229187,-0.158469,-1.034858,0.322507,0.355298,-0.037666,-0.449477,-0.08041,0.064317,0.443894,-0.480177,-0.432337,0.214397,0.166292,-0.107036,0.260719,-0.610179,-0.110453,-0.076966,0.08483,-0.576685,-0.400484,0.26451,0.196824,0.193531,0.05286,0.306016,-0.04812,-0.087967,0.238472,-0.241872,-0.534598,-0.138378,0.007903,-0.292675,0.283771,0.045385,0.009129,-0.360345,-0.274109,-0.002227,0.43649,0.071586,-0.036593,-0.011973,0.063604,0.041602,-0.108499,-0.308801,-0.1874,0.028353,0.00115,-0.54658,-0.093199,-0.139446,True
0.382763,0.299022,-0.043692,0.392885,0.460337,0.472502,0.565528,-0.321199,0.314448,-0.388418,0.056102,-1.005513,0.27683,0.34144,-0.310227,-0.398569,0.149682,0.325444,0.091889,-0.816277,-0.744829,0.161794,-0.11558,-0.071739,0.710305,-0.599898,0.29618,0.281836,0.140905,-0.340448,-0.658388,0.206523,0.310776,0.254849,0.134186,0.11567,0.453783,0.494451,0.410381,-0.191728,0.122089,-0.297609,0.222474,-0.26333,0.238094,0.031527,-0.263432,-0.309437,-0.044017,0.2589,0.084485,-0.264514,-0.349085,-0.064576,-0.218268,0.076899,0.341087,-0.29852,0.219233,0.387155,0.057225,-0.310343,-0.351103,-0.197433,True
0.216216,-0.711489,0.529496,0.146654,0.177294,-0.210427,0.394738,-0.358287,0.127621,-0.200523,0.097522,-1.648415,-0.041312,0.21489,-0.029074,-0.47728,0.17938,0.12555,-0.222103,-0.670782,-0.593931,0.081028,-0.234592,0.030516,0.864722,-0.774113,0.269275,-0.138355,0.294298,-0.397231,-0.412752,0.358074,0.144229,-0.755662,0.707374,-0.130561,0.17074,-0.188478,0.239591,-0.228816,-0.064738,-0.109714,0.263894,-0.906232,-0.080048,-0.095023,0.017721,-0.388148,-0.014319,0.059006,-0.229507,-0.119019,-0.198187,-0.145342,-0.33728,0.179154,0.495504,-0.472735,0.192328,-0.033036,0.210618,-0.367126,-0.105467,-0.045882,True
0.12451,-0.130225,-0.008442,0.249338,0.384401,-0.079346,0.410181,-0.263434,-0.166549,-0.27475,-0.22942,-1.316506,-0.012643,-0.064706,-0.258267,-0.796788,0.145196,0.139846,-0.177593,-0.299837,-0.499919,0.153489,-0.051746,0.245452,0.689514,-0.609103,0.160718,0.003836,0.217429,-0.752354,-0.170995,0.285503,0.052523,-0.174398,0.169436,-0.027877,0.377847,-0.057397,0.255034,-0.133963,-0.358908,-0.183941,-0.063048,-0.574323,-0.051379,-0.374619,-0.211472,-0.707656,-0.048503,0.073302,-0.184997,0.251926,-0.104175,-0.072881,-0.154434,0.39409,0.320296,-0.307725,0.083771,0.109155,0.133749,-0.722249,0.13629,-0.118453,True
0.265157,0.190234,-0.310612,0.062588,-0.061893,-0.228024,0.584104,-0.331385,-0.364769,-0.209613,0.016375,-0.943085,0.099465,0.406371,-0.082972,-0.753573,0.284553,0.059788,0.098589,-0.578251,-0.141562,0.060403,0.267668,-0.287514,0.898753,-0.550094,-0.080345,-0.061809,-0.061084,-0.119037,-0.200872,0.061542,0.19317,0.146061,-0.132734,-0.214627,-0.068447,-0.206075,0.428957,-0.201914,-0.557128,-0.118804,0.182747,-0.200902,0.060729,0.096458,-0.036177,-0.664441,0.090854,-0.006756,0.091185,-0.026488,0.254182,-0.165967,0.16498,-0.138876,0.529535,-0.248716,-0.157292,0.04351,-0.144764,-0.088932,0.106413,-0.342414,True
0.018971,0.24123,-0.298726,0.748066,0.33742,0.491316,0.279359,-0.028316,0.176341,-0.524164,0.214258,-0.642691,-0.135926,0.362501,0.031046,-0.424496,0.036968,-0.62122,-0.419951,-0.808959,-0.376804,0.703954,-0.052786,-0.06538,0.354937,-0.710988,-0.232653,-0.410577,-0.144495,-0.219611,-0.077865,0.560275,-0.053016,0.197057,-0.120848,0.470851,0.330866,0.513265,0.124212,0.101155,-0.016018,-0.433355,0.38063,0.099492,-0.174662,0.052588,0.077841,-0.335364,-0.156731,-0.687764,-0.427355,-0.257196,0.01894,0.477584,-0.155474,0.083258,-0.014281,-0.40961,-0.3096,-0.305258,-0.228175,-0.189506,0.22942,0.156319,True
0.450087,-0.049176,-0.045757,0.692039,-0.144284,0.148198,0.582915,0.109336,-0.13196,0.294563,0.068898,-0.358653,0.406939,0.577945,0.466659,-0.020238,-0.133944,0.0018,0.145763,-0.763802,-0.488663,0.469994,0.477268,-0.365682,0.219773,-0.50977,-0.075515,-0.408024,-0.01383,-0.647215,-0.03792,0.763508,0.3781,-0.093349,0.132121,0.414824,-0.150838,0.170147,0.427768,0.238807,-0.324319,0.385372,0.23527,0.38353,0.368203,0.268032,0.513454,0.068894,-0.327643,-0.064744,0.138359,-0.212039,-0.092919,0.243624,0.37458,-0.217044,-0.149445,-0.208392,-0.152462,-0.302705,-0.09751,-0.61711,0.269365,0.359552,True
