an0,an1,an2,an3,an4,an5,an6,an7,an8,an9,an10,an11,an12,an13,an14,an15,an16,an17,an18,an19,an20,an21,an22,an23,an24,an25,an26,an27,an28,an29,an30,an31,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,class
0.1812444,-0.9690434,0.5261654,-0.151737,0.0932368,-0.2332508,-0.1305846,-0.0525702,0.0117988,0.1205162,0.1396726,-0.8076196,0.0668272,0.0503186,0.284406,-0.4913924,-0.1655532,-0.1024352,-0.6135932,0.0318984,0.3495282,0.215503,-0.1790214,0.1775844,0.9578956,-0.5956106,0.5410454,-0.0202678,0.085148,-0.538087,-0.096342,-0.1253838,0.166847,-0.977878,0.561741,-0.20718,0.091926,-0.228861,-0.161614,-0.026676,-0.026673,0.138678,0.172947,-0.659183,0.05908,-0.011664,0.293765,-0.473566,-0.204293,-0.115744,-0.615074,0.142251,0.428677,0.170229,-0.199559,0.207312,0.884052,-0.535335,0.525656,0.000796,0.068412,-0.532066,-0.034885,-0.206175,True
0.3502524,-0.1957724,0.2094644,0.159128,0.4637948,0.5852542,0.2973244,-0.0061592,-0.2129312,-0.4185658,0.0065756,-0.8129956,-0.2774688,-0.2733394,-0.18112,-0.6385544,0.0175258,-0.3356312,-0.3314872,-0.1581806,-0.3959248,0.617224,-0.5996284,0.3937654,0.1635636,-0.2336346,-0.1204676,0.2401132,-0.083389,-0.656571,0.026989,-0.1741048,0.335855,-0.204607,0.24504,0.103685,0.462484,0.589644,0.266295,0.019735,-0.251403,-0.400404,0.03985,-0.664559,-0.285216,-0.335322,-0.171761,-0.620728,-0.021214,-0.34894,-0.332968,-0.047828,-0.316776,0.57195,-0.620166,0.423493,0.08972,-0.173359,-0.135857,0.261177,-0.100125,-0.65055,0.088446,-0.254896,True
0.2086364,-0.7167524,0.4858444,-0.11934,0.3169018,0.2056802,0.0641244,-0.0282602,-0.0433602,-0.2066738,0.1499626,-0.8576276,-0.1409398,-0.2125944,-0.04409,-0.6584834,-0.1540402,-0.2000332,-0.4736872,0.0374414,-0.3079898,0.246873,-0.5328184,0.3559014,0.5825626,-0.5309126,0.2342804,-0.0661958,0.21255,-0.630655,0.066583,-0.0745308,0.194239,-0.725587,0.52142,-0.174783,0.315591,0.21007,0.033095,-0.002366,-0.081832,-0.188512,0.183237,-0.709191,-0.148687,-0.274577,-0.034731,-0.640657,-0.19278,-0.213342,-0.475168,0.147794,-0.228841,0.201599,-0.553356,0.385629,0.508719,-0.470637,0.218891,-0.045132,0.195814,-0.624634,0.12804,-0.155322,True
0.2112214,0.2023656,0.0172844,0.361459,-0.0468092,-0.0923568,0.2695014,-0.2677662,-0.4961262,-0.1565398,-0.0253714,-0.4411116,0.2915182,0.1073676,-0.00023,-0.3781714,-0.2353692,0.0110818,0.4379708,-0.0387666,-0.1157418,0.033301,0.0841416,0.0118744,-0.0346554,-0.3690766,-0.1720106,0.0072892,0.017886,-0.552601,-0.154656,-0.0586548,0.196824,0.193531,0.05286,0.306016,-0.04812,-0.087967,0.238472,-0.241872,-0.534598,-0.138378,0.007903,-0.292675,0.283771,0.045385,0.009129,-0.360345,-0.274109,-0.002227,0.43649,0.071586,-0.036593,-0.011973,0.063604,0.041602,-0.108499,-0.308801,-0.1874,0.028353,0.00115,-0.54658,-0.093199,-0.139446,True
0.3251734,0.2636836,0.0986104,0.171113,0.4550938,0.4900612,0.4414104,-0.2176222,0.1605608,-0.3157708,0.1891996,-0.4117666,0.2458412,0.0935096,-0.272791,-0.3272634,-0.0052772,0.2722088,0.0859658,-0.3748666,-0.4282338,-0.019302,-0.1977304,0.0471714,0.4149306,-0.3587956,0.2346224,0.3660912,0.073961,-0.316364,-0.41256,-0.1166418,0.310776,0.254849,0.134186,0.11567,0.453783,0.494451,0.410381,-0.191728,0.122089,-0.297609,0.222474,-0.26333,0.238094,0.031527,-0.263432,-0.309437,-0.044017,0.2589,0.084485,-0.264514,-0.349085,-0.064576,-0.218268,0.076899,0.341087,-0.29852,0.219233,0.387155,0.057225,-0.310343,-0.351103,-0.197433,True
0.1586264,-0.7468274,0.6717984,-0.075118,0.1720508,-0.1928678,0.2706204,-0.2547102,-0.0262662,-0.1278758,0.2306196,-1.0546686,-0.0723008,-0.0330404,0.008362,-0.4059744,0.0244208,0.0723148,-0.2280262,-0.2293716,-0.2773358,-0.100068,-0.3167424,0.1494264,0.5693476,-0.5330106,0.2077174,-0.0540998,0.227354,-0.373147,-0.166924,0.0349092,0.144229,-0.755662,0.707374,-0.130561,0.17074,-0.188478,0.239591,-0.228816,-0.064738,-0.109714,0.263894,-0.906232,-0.080048,-0.095023,0.017721,-0.388148,-0.014319,0.059006,-0.229507,-0.119019,-0.198187,-0.145342,-0.33728,0.179154,0.495504,-0.472735,0.192328,-0.033036,0.210618,-0.367126,-0.105467,-0.045882,True
0.0669204,-0.1655634,0.1338604,0.027566,0.3791578,-0.0617868,0.2860634,-0.1598572,-0.3204362,-0.2021028,-0.0963224,-0.7227596,-0.0436318,-0.3126364,-0.220831,-0.7254824,-0.0097632,0.0866108,-0.1835162,0.1415734,-0.1833238,-0.027607,-0.1338964,0.3643624,0.3941396,-0.3680006,0.0991604,0.0880912,0.150485,-0.72827,0.074833,-0.0376618,0.052523,-0.174398,0.169436,-0.027877,0.377847,-0.057397,0.255034,-0.133963,-0.358908,-0.183941,-0.063048,-0.574323,-0.051379,-0.374619,-0.211472,-0.707656,-0.048503,0.073302,-0.184997,0.251926,-0.104175,-0.072881,-0.154434,0.39409,0.320296,-0.307725,0.083771,0.109155,0.133749,-0.722249,0.13629,-0.118453,True
0.2075674,0.1548956,-0.1683096,-0.159184,-0.0671362,-0.2104648,0.4599864,-0.2278082,-0.5186562,-0.1369658,0.1494726,-0.3493386,0.0684762,0.1584406,-0.045536,-0.6822674,0.1295938,0.0065528,0.0926658,-0.1368406,0.1750332,-0.120693,0.1855176,-0.1686036,0.6033786,-0.3089916,-0.1419026,0.0224462,-0.128028,-0.094953,0.044956,-0.2616228,0.19317,0.146061,-0.132734,-0.214627,-0.068447,-0.206075,0.428957,-0.201914,-0.557128,-0.118804,0.182747,-0.200902,0.060729,0.096458,-0.036177,-0.664441,0.090854,-0.006756,0.091185,-0.026488,0.254182,-0.165967,0.16498,-0.138876,0.529535,-0.248716,-0.157292,0.04351,-0.144764,-0.088932,0.106413,-0.342414,True
-0.0386186,0.2058916,-0.1564236,0.526294,0.3321768,0.5088752,0.1552414,0.0752608,0.0224538,-0.4515168,0.3473556,-0.0489446,-0.1669148,0.1145706,0.068482,-0.3531904,-0.1179912,-0.6744552,-0.4258742,-0.3675486,-0.0602088,0.522858,-0.1349364,0.0535304,0.0595626,-0.4698856,-0.2942106,-0.3263218,-0.211439,-0.195527,0.167963,0.2371102,-0.053016,0.197057,-0.120848,0.470851,0.330866,0.513265,0.124212,0.101155,-0.016018,-0.433355,0.38063,0.099492,-0.174662,0.052588,0.077841,-0.335364,-0.156731,-0.687764,-0.427355,-0.257196,0.01894,0.477584,-0.155474,0.083258,-0.014281,-0.40961,-0.3096,-0.305258,-0.228175,-0.189506,0.22942,0.156319,True
0.3924974,-0.0845144,0.0965454,0.470267,-0.1495272,0.1657572,0.4587974,0.2129128,-0.2858472,0.3672102,0.2019956,0.2350934,0.3759502,0.3300146,0.504095,0.0510676,-0.2889032,-0.0514352,0.1398398,-0.3223916,-0.1720678,0.288898,0.3951176,-0.2467716,-0.0756014,-0.2686676,-0.1370726,-0.3237688,-0.080774,-0.623131,0.207908,0.4403432,0.3781,-0.093349,0.132121,0.414824,-0.150838,0.170147,0.427768,0.238807,-0.324319,0.385372,0.23527,0.38353,0.368203,0.268032,0.513454,0.068894,-0.327643,-0.064744,0.138359,-0.212039,-0.092919,0.243624,0.37458,-0.217044,-0.149445,-0.208392,-0.152462,-0.302705,-0.09751,-0.61711,0.269365,0.359552,True
